Name,Category,Key,Description,Deposit Proccessing Time,Min Deposit,Max Deposit,Withdrawal Processing Time,Min Withdrawal,Max Withdrawal,Link Binary,Link Deriv,Currencies,Countries,Reference,Locale,Platform
Visa,Credit/debit cards,visa,Deposit and withdraw using your Visa credit or debit card.,Instant,10,"10,000",1 working day,10,"10,000",,,"USD, EUR, AUD, GBP","-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",Yes,,
Visa Electron,Credit/debit cards,visa-electron,Deposit and withdraw using your Visa Electron card. ,Instant,10,"10,000",1 working day,10,"10,000",,,"USD, EUR, AUD, GBP","-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",No,,
Mastercard,Credit/debit cards,mastercard,Deposit and withdraw using your Mastercard credit or debit card.,Instant,10,"10,000",1 working day,10,"10,000",,,"USD, EUR, AUD, GBP","-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",Yes,,
Maestro,Credit/debit cards,maestro,Deposit and withdraw using your Maestro debit card.,Instant,10,"10,000",1 working day,10,"10,000",,,"USD, EUR, AUD, GBP","-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",Yes,,
Diners,Credit/debit cards,diners,Deposit and withdraw using your Diners credit or debit card.,Instant,10,"10,000",1 working day,10,"10,000",,,"USD, EUR, AUD, GBP","-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",Yes,,
JCB,Credit/debit cards,jcb,Deposit and withdraw using your JCB credit card. ,Instant,10,"10,000",1 working day,10,"10,000",,,USD,"-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",No,,
Internet Bank Transfer,Online Banking,internet-bank-transfer,Deposit and withdraw easily using secure and fast money transfers.,1 working day,5,"50,000",1 working day,5,"50,000",,,USD,"-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",No,,
PayTrust88,Online Banking,paytrust88,"Deposit easily with your bank account on any device. Supports major banks in China, Indonesia, South Korea, Thailand, and Vietnam. ",1 working day,10,"17,000",Not Available,Not Available,Not Available,,,USD,"ID, TH, VN",No,,
DragonPhoenix,Online Banking,dragonphoenix,"Deposit and withdraw easily in THB, IDR, and VND.",Instant,10,"10,000",Not Available,Not Available,Not Available,,,USD,"ID, TH, VN",Yes,,
Ngan Luong,Online Banking,ngan-luong,"A leading e-wallet service in Vietnam that’s easy to use, flexible, and safe. Used by thousands of merchants.",1 working day,10,"2,500",1 - 3 working days,10,"2,500",,,USD,VN,Yes,VN,
Help2Pay,Online Banking,help2pay,"A leading payment service in Southeast Asia that’s fast, easy, and secure.",Instant,15,"10,000",Not Available,Not Available,Not Available,,,USD,"ID, TH, VN",Yes,,
Zingpay,Online Banking,zingpay,Payments simplified. Fast and reliable way to deposit funds in your local currency.,Instant,10,500,1 working day,10,"6,000",,,"USD, EUR, AUD, GBP",SA,Yes,,
Fasapay,E-wallets,fasapay,"Features fast deposits and withdrawals, low fees, and downloadable transaction history.",Instant,5,"10,000",1 working day,5,"10,000",https://www.fasapay.com/,https://www.fasapay.com/,USD,"-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",Yes,,
Perfect Money,E-wallets,perfect-money,"A cheap and easy method for deposits and withdrawals. Features auto payments, annual interest, and real-time statements",Instant,5,"10,000",1 working day,5,"10,000",http://perfectmoney.com/?welcome=1,http://perfectmoney.com/?welcome=2,"USD, EUR","-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",Yes,,
Skrill,E-wallets,skrill,"Quick, simple to use, and available anywhere, anytime. Used by millions of clients worldwide.",Instant,10,"10,000",1 working day,10,"10,000",https://account.skrill.com/wallet/account/sign-up?locale=en,https://account.skrill.com/wallet/account/sign-up?locale=en,"USD,  EUR, AUD, GBP","-AX, -AS, -AO, -AI, -AQ, -AG, -AT, -BB, -BE, -BZ, -BJ, -BT, -BV, -BG, -BF, -BI, -CA, -CV, -CF, -TD, -CN, -CC, -KM, -CG, -CD, -CK, -CI, -HR, -CU, -CW, -CY, -CZ, -DK, -DJ, -ER, -EE, -FO, -FJ, -FI, -FR, -GF, -PF, -TF, -GA,-GM, -DE, -GI, -GR, -GL, -GD, -GP, -GU, -GW, -GY, -HT, -HM, -VA, -HK, -HU, -IR, -IQ, -IE, -IL, -IT, -JP, -KI, -KP, -KG, -LA, -LV, -LB, -LR, -LY, -LI, -LT, -LU, -MO, -MY, -ML, -MT, -MH, -MQ, -MR, -YT, -FM, -MS, -MM, -NA, -NL, -AN, -NC, -NE, -NU, -NF, -MP, -NO, -PS, -PG, -PN, -PL, -PT, -PR, -RE, -RO, -RW, -KN, -LC, -VC, -WS, -ST, -SC, -SL, -SG, -SK, -SI, -SB, -SO, -GS, -ES, -SH, -PM, -SD, -SR, -SJ, -SE, -SY, -TL, -TG, -TK, -TO, -TR, -TM, -TC, -TV, -AE, -GB, -US, -UM, -VU, -VE, -VI, -WF, -EH, -YE, -ZW",Yes,,
Neteller,E-wallets,neteller,"Used by over 20 million clients worldwide. Enjoy instant access, free withdrawals, and reward points that you can redeem for cash. ",Instant,10,"10,000",1 working day,5,"10,000",https://member.neteller.com/wallet/account/sign-up?lang=en&btag=a_94953b_2560c_&program=NTAFFILIATE,https://member.neteller.com/wallet/account/sign-up?lang=en&btag=a_94953b_2560c_&program=NTAFFILIATE,"USD, EUR, AUD, GBP","-AX, -AS, -AO, -AI, -AQ, -AG, -AT, -BB, -BE, -BZ, -BJ, -BT, -BV, -BG, -BF, -BI, -CA, -CV, -CF, -TD, -CN, -CC, -KM, -CG, -CD, -CK, -CI, -HR, -CU, -CW, -CY, -CZ, -DK, -DJ, -ER, -EE, -FO, -FJ, -FI, -FR, -GF, -PF, -TF, -GA,-GM, -DE, -GI, -GR, -GL, -GD, -GP, -GU, -GW, -GY, -HT, -HM, -VA, -HK, -HU, -IR, -IQ, -IE, -IL, -IT, -JP, -KI, -KP, -KG, -LA, -LV, -LB, -LR, -LY, -LI, -LT, -LU, -MO, -MY, -ML, -MT, -MH, -MQ, -MR, -YT, -FM, -MS, -MM, -NA, -NL, -AN, -NC, -NE, -NU, -NF, -MP, -NO, -PS, -PG, -PN, -PL, -PT, -PR, -RE, -RO, -RW, -KN, -LC, -VC, -WS, -ST, -SC, -SL, -SG, -SK, -SI, -SB, -SO, -GS, -ES, -SH, -PM, -SD, -SR, -SJ, -SE, -SY, -TL, -TG, -TK, -TO, -TR, -TM, -TC, -TV, -AE, -GB, -US, -UM, -VU, -VE, -VI, -WF, -EH, -YE, -ZW",Yes,,
WebMoney,E-wallets,webmoney,"A complete payment service with over 30 million clients, 10,000  daily signups, and is supported by more than 100,000 merchants.",Instant,5,"3,000",1 working day,5,"5,000",https://www.wmtransfer.com/,https://www.wmtransfer.com/,"USD, EUR","-AS, -BS, -BW, -KH, -ET, -GH, -GU, -GY, -IR, -IQ, -KP, -LA, -LY, -ML, -MR, -MP, -PK, -PA, -SO, -SS, -LK, -SD, -SY, -TT, -TN, -UG, -US, -VU, -YE",Yes,,
Paysafecard,E-wallets,paysafecard,A convenient payment service that doesn’t need a bank account or credit card. Accepted by thousands of merchants worldwide.,Instant,5,"1,000",1 working day,5,750,https://www.paysafecard.com/en/,https://www.paysafecard.com/en/,"USD, AUD","AR, AU, AT, BE, BG, CN, HR, CY, CZ, DK, FI, FR, GE, DE, GI, HK, HU, IE, IL, IT, KW, LV, LI, LT, LU, MO, MT, MX, NL, NZ, NO, PL, PT, RO, SA, SG, SK, SI, ES, CH, TR, AE, GB",No,,
,,paysafecard,,,5,"10,000",1 working day,5,750,https://www.paysafecard.com/en/,https://www.paysafecard.com/en/,"GBP, EUR","AR, AU, AT, BE, BG, CN, HR, CY, CZ, DK, FI, FR, GE, DE, GI, HK, HU, IE, IL, IT, KW, LV, LI, LT, LU, MO, MT, MX, NL, NZ, NO, PL, PT, RO, SA, SG, SK, SI, ES, CH, TR, AE, GB",No,,
PayLivre,E-wallets,paylivre,"Enjoy fast, smooth, and secure deposits and withdrawals with PayLivre.",Instant,5,4000,1 - 2 working days,5,"10,000",https://www.paylivre.com/,https://www.paylivre.com/,USD,BR,Yes,,
Jeton,E-wallets,jeton,A fast and secure money transfer service. Access your money anywhere with the mobile app.,Instant,5,"1,000",1 working day,5,"1,000",https://www.jeton.com/,https://www.jeton.com/,"USD, EUR, AUD, GBP","-AF, -AE, -CA, -CF, -CH, -ET, -HK, -IL, -IR, -IQ, -JE, -KP, -MY, -MT, -NO, -LY -RW, -RU, -PY, -SD, -SO, -US, -SY, -YE",Yes,,
Sticpay,E-wallets,sticpay,"An easy, cheap, and fast way to transfer money. Supported by banks and merchants worldwide.",Instant,5,"10,000",1 working day,5,"1,000",https://www.sticpay.com/,https://www.sticpay.com/,"USD, EUR, GBP","-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",Yes,,
AirTM,E-wallets,airtm,"Easily convert your currency to USD and transfer money worldwide. Used by more than 500,000 clients in 163 countries.",Instant,5,"2,500",1 working day,5,"2,500",https://www.airtm.com/en/,https://www.airtm.com/en/,USD,"-AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",Yes,,
Bitcoin,Cryptocurrencies,bitcoin,"Deposit and withdraw in Bitcoin, the world’s first cryptocurrency.",Funds available as soon as confirmed,Not Available,Not Available,Subject to internal checks,0.0022,Not Available,,,BTC,"-EU, -UK, -AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",Yes,,
Banxa,Fiat onramp,banxa,"Make fast, easy, and secure deposits with this internationally compliant fiat-to-crypto exchange using your credit or debit card. Registrations are hassle-free.",5 - 30 minutes,50,5000,Not Available,Not Available,Not Available,https://banxa.com/,https://banxa.com/,"USD, EUR, GBP, AUD, BTC, LTC, USDT, USDC","-EU, -UK, -AF, -AE, -CA, -CF, -HK, -IL, -IR, -IQ, -JE, -MY, -MT, -RW, -PY, -US, -SY",No,,deriv.com
Boleto Bancario,E-wallets,boleto-bancario,Use this popular invoice-based payment method to deposit if you don’t have a bank account or credit card. This option is accessible through Directa24.,2 - 3 working days,10,1000,Not Available,Not Available,Not Available,,,USD,BR,,,
OnlineNaira,E-wallets,onlinenaira,Make fast and secure deposits and withdrawals with this mobile-friendly solution for clients in Nigeria.,Instant,10,1000,1 - 2 working days,10,10000,https://www.onlinenaira.com/,https://www.onlinenaira.com/,USD,NG,,,
Trustly,E-wallets,trustly,"Enjoy fast, smooth, and secure deposits and withdrawals with Trustly.",Instant,10,100,1 - 2 working days,10,10000,,https://www.trustly.net/,"GBP, USD","AT, DK, EE, FI, DE, NL, PL, SE, GB",,,
Trustly,E-wallets,trustly,"Enjoy fast, smooth, and secure deposits and withdrawals with Trustly.",Instant,10,100,1 - 2 working days,10,500,,https://www.trustly.net/,EUR,"AT, DK, EE, FI, DE, NL, PL, SE",,,
Beyonic,E-wallets,beyonic,Make deposits easily using your mobile. For clients in Uganda and Tanzania.,Instant ,5,1000,1 - 2 working days ,5,1000,https://beyonic.com/,https://beyonic.com/,"TZS, UGX","TZ, UG",,,
